#1
double Intgainconv_Intgainrad_COPMin(8760, 4)
#time_in_s	c_o_n_v	r_a_d	C_O_P_M_i_n
2260800	71.3698225	42.8218935	0
2264400	38.350154375	23.010092625	0
2268000	88.69582625	53.217495750000005	0
2271600	928.81656375	557.28993825	0
2275200	1121.4781325000001	672.8868795000001	0
2278800	981.6341256249999	588.980475375	0
2282400	72.636471875	43.581883125	0
2286000	47.036730625000004	28.222038375	0
2289600	2163.9559312500005	1298.37355875	0
2293200	1539.5696831249998	923.741809875	0
2296800	248.38598187500003	149.031589125	0
2300400	138.84095250000001	83.30457150000001	0
2304000	194.99943187500003	116.99965912500001	0
2307600	386.87494624999994	232.12496775	0
2311200	479.36957937499994	287.62174762499995	0
2314800	1016.5514225000001	609.9308535	0
2318400	264.63586375000006	158.78151825	0
2322000	192.97542562499999	115.78525537499999	0
2325600	226.06981812499998	135.641890875	0
2329200	108.3232775	64.9939665	0
2332800	57.394623124999995	34.436773875	0
2336400	77.960731875	46.776439124999996	0
2340000	78.484728125	47.090836875	0
2343600	38.387745	23.032647	0
2347200	38.036160625	22.821696375	0
2350800	50.196143125	30.117685875000003	0
2354400	99.179309375	59.507585625	0
2358000	943.034795625	565.820877375	0
2361600	1029.354271875	617.6125631250001	0
2365200	193.065810625	115.839486375	0
2368800	236.6460975	141.9876585	0
2372400	1941.562228125	1164.937336875	0
2376000	866.257105625	519.7542633749999	0
2379600	220.07616187499997	132.045697125	0
2383200	912.3467668750001	547.408060125	0
2386800	395.76696	237.46017600000002	0
2390400	789.091078125	473.45464687500004	0
2394000	511.0954412500001	306.65726474999997	0
2397600	347.540510625	208.524306375	0
2401200	630.79523	378.47713799999997	0
2404800	696.348255625	417.808953375	0
2408400	384.7496125	230.8497675	0
2412000	1549.671870625	929.803122375	0
2415600	1197.662155	718.5972929999999	0
2419200	38.15379874999999	22.892279249999998	0
2422800	73.83062749999999	44.2983765	0
2426400	43.756403125	26.253841875	0
2430000	70.8318025	42.4990815	0
2433600	58.796166250000006	35.277699750000004	0
2437200	47.406773125	28.444063875	0
2440800	858.7705225	515.2623135000001	0
2444400	694.11358875	416.46815325	0
2448000	361.78784375	217.07270625000004	0
2451600	99.782031875	59.869219125	0
2455200	92.65308624999999	55.59185175	0
2458800	126.83136312499998	76.09881787500001	0
2462400	889.0257043749999	533.415422625	0
2466000	403.993791875	242.39627512500002	0
2469600	312.90292375	187.74175425	0
2473200	116.057113125	69.63426787499999	0
2476800	137.925459375	82.755275625	0
2480400	316.32649625000005	189.79589775	0
2484000	285.585426875	171.35125612500002	0
2487600	588.31441125	352.98864675000004	0
2491200	599.8257837499999	359.89547025	0
2494800	167.79593375	100.67756025	0
2498400	97.97557625	58.78534575	0
2502000	51.75068125	31.05040875	0
2505600	83.35902625000001	50.01541575	0
2509200	38.486101874999996	23.091661124999998	0
2512800	42.67888	25.607328	0
2516400	81.1644275	48.69865649999999	0
2520000	44.937768750000004	26.96266125	0
2523600	148.05753124999998	88.83451875	0
2527200	959.170199375	575.502119625	0
2530800	669.73204625	401.83922775	0
2534400	1398.64995875	839.1899752500001	0
2538000	965.644955	579.386973	0
2541600	107.15289	64.29173399999999	0
2545200	378.43136875000005	227.05882125000002	0
2548800	2616.73064125	1570.0383847500002	0
2552400	1031.445054375	618.8670326250001	0
2556000	158.04910124999998	94.82946074999998	0
2559600	111.10552937500002	66.66331762499999	0
2563200	139.963038125	83.977822875	0
2566800	227.89792375000002	136.73875424999997	0
2570400	344.68640374999995	206.81184224999998	0
2574000	484.295398125	290.577238875	0
2577600	741.7778793750001	445.066727625	0
2581200	304.23835437500003	182.543012625	0
