time,livingroom__win_net_W,hobby__win_net_W,corridor__win_net_W,wcstorage__win_net_W,kitchen__win_net_W,bedroom__win_net_W,children__win_net_W,corridor2__win_net_W,bath__win_net_W,children2__win_net_W,attic__win_net_W
284400.0,-154.04533116145726,-71.01622913623896,0.0,-32.180243147712495,-109.87443743004707,-116.0905789756259,-71.3822183666407,-33.01901269951492,-33.13880554987712,-71.82442521568413,0.0
288000.0,-141.35035302747178,-54.31552746923464,0.0,-18.35623128033484,-84.78070739058619,-106.56254967848963,-54.834920503103206,-19.348192749101372,-14.087338351433232,-49.76316809108691,0.0
291600.0,-130.94963937969658,-54.372285302687665,0.0,-21.07718780510347,-74.80581372070395,-98.7185692247568,-54.86160491766013,-22.008307885782656,-9.043343212737312,-42.184540849141854,0.0
295200.0,-124.6871763075093,-58.49937839132049,0.0,-26.923783547163485,-70.31829321280014,-93.99421722982416,-58.96138300346075,-27.770907731029993,-7.4905980155467375,-39.11591871529595,0.0
298800.0,-119.80378789649455,-61.889751220767394,0.0,-30.796819908521062,-70.91598346063122,-90.57378389353408,-62.320762923354785,-31.568830578849127,-11.01354213639334,-41.12556916151928,0.0
302400.0,-121.11612596954622,-64.83397544036978,0.0,-32.334445892315046,-84.0253077940591,-91.84603586143507,-65.19836107190662,-33.040243602439304,-24.365407006163565,-54.29355094037257,0.0
306000.0,-134.40442363338082,-68.07662383242769,0.0,-33.99390873118191,-101.17491268496197,-101.31892038706003,-68.44418963686272,-34.68789411692515,-33.939502864289274,-67.7135292779496,0.0
309600.0,-137.70818912700875,-69.10537449164825,0.0,-34.51486903038412,-104.15731737118452,-103.8598927075136,-69.54826841633377,-35.25810511091023,-35.23472987103528,-69.97235082517685,0.0
313200.0,-138.69302248830817,-69.54642991130065,0.0,-34.706226830574096,-104.7321293130942,-104.65281459207795,-70.00113680016379,-35.466394695132145,-35.407476804472346,-70.39229167280448,0.0
316800.0,-138.90979010927092,-69.55154387816204,0.0,-34.65378308517934,-104.70534469614435,-104.77654452530753,-69.95477175487386,-35.387545924875454,-35.30226497933112,-70.31335390828568,0.0
320400.0,-138.39135395559927,-69.22805577638742,0.0,-34.45655993939853,-104.18601437231855,-104.36601331042135,-69.59496035827549,-35.17092820097771,-35.06484493962173,-69.92680625541234,0.0
324000.0,-137.40817163082545,-68.66751900084802,0.0,-34.139664151186366,-103.32633855633792,-103.61046227714286,-68.9981175361729,-34.82868185869899,-34.70650900950594,-69.30620458675976,0.0
327600.0,-139.27758043565856,-69.63186595903045,0.0,-34.63444448583851,-104.7176666727932,-105.01252957292787,-69.95615170739278,-35.3295928171384,-35.19203229015693,-70.24930885256363,0.0
331200.0,-143.26608312439092,-71.67628707349536,0.0,-35.681553859530275,-107.72514631011776,-107.9263679773285,-71.93411217427969,-36.347059073839304,-36.19646264469853,-72.2155223756834,0.0
334800.0,-146.16134104963592,-73.14417982654666,0.0,-36.42488121614091,-109.88719850415943,-109.9812253834407,-73.29941610357908,-37.034748389324854,-36.87377504135138,-73.56937088078266,0.0
