Time,radCon.Q_flow,sou.T_in,radCon.vol[1].T,radCon.vol[5].T
7927.2,-69.6744,294.15,294.12003,294.01065
7948.8,-69.6744,294.15,294.12003,294.01065
7970.4,-69.6744,294.15,294.12003,294.01065
7992,-69.6744,294.15,294.12003,294.01065
8013.6,-69.6744,294.15,294.12003,294.01065
8035.2,-69.6744,294.15,294.12003,294.01065
8056.8,-69.6744,294.15,294.12003,294.01065
8078.4,-69.6744,294.15,294.12003,294.01065
8100,-69.6744,294.15,294.12003,294.01065
8121.6,-69.6744,294.15,294.12003,294.01065
8143.2,-69.6744,294.15,294.12003,294.01065
8164.8,-69.6744,294.15,294.12003,294.01065
8186.4,-69.6744,294.15,294.12003,294.01065
8208,-69.6744,294.15,294.12003,294.01065
8229.6,-69.6744,294.15,294.12003,294.01065
8251.2,-69.6744,294.15,294.12003,294.01065
8272.8,-69.6744,294.15,294.12003,294.01065
8294.4,-69.6744,294.15,294.12003,294.01065
8316,-69.6744,294.15,294.12003,294.01065
8337.6,-69.6744,294.15,294.12003,294.01065
8359.2,-69.6744,294.15,294.12003,294.01065
8380.8,-69.6744,294.15,294.12003,294.01065
8402.4,-69.6744,294.15,294.12003,294.01065
8424,-69.6744,294.15,294.12003,294.01065
8445.6,-69.6744,294.15,294.12003,294.01065
8467.2,-69.6744,294.15,294.12003,294.01065
8488.8,-69.6744,294.15,294.12003,294.01065
8510.4,-69.6744,294.15,294.12003,294.01065
8532,-69.6744,294.15,294.12003,294.01065
8553.6,-69.6744,294.15,294.12003,294.01065
8575.2,-69.6744,294.15,294.12003,294.01065
8596.8,-69.6744,294.15,294.12003,294.01065
8618.4,-69.6744,294.15,294.12003,294.01065
8640,-69.6744,294.15,294.12003,294.01065
8661.6,-69.6744,294.15,294.12003,294.01065
8683.2,-69.6744,294.15,294.12003,294.01065
8704.8,-69.6744,294.15,294.12003,294.01065
8726.4,-69.6744,294.15,294.12003,294.01065
8748,-69.6744,294.15,294.12003,294.01065
8769.6,-69.6744,294.15,294.12003,294.01065
8791.2,-69.6744,294.15,294.12003,294.01065
8812.8,-69.6744,294.15,294.12003,294.01065
8834.4,-69.6744,294.15,294.12003,294.01065
8856,-69.6744,294.15,294.12003,294.01065
8877.6,-69.6744,294.15,294.12003,294.01065
8899.2,-69.6744,294.15,294.12003,294.01065
8920.8,-69.6744,294.15,294.12003,294.01065
8942.4,-69.6744,294.15,294.12003,294.01065
8964,-69.6744,294.15,294.12003,294.01065
8985.6,-69.6744,294.15,294.12003,294.01065
9007.2,-69.6744,294.15,294.12003,294.01065
9028.8,-69.6744,294.15,294.12003,294.01065
9050.4,-69.6744,294.15,294.12003,294.01065
9072,-69.6744,294.15,294.12003,294.01065
9093.6,-69.6744,294.15,294.12003,294.01065
9115.2,-69.6744,294.15,294.12003,294.01065
9136.8,-69.6744,294.15,294.12003,294.01065
9158.4,-69.6744,294.15,294.12003,294.01065
9180,-69.6744,294.15,294.12003,294.01065
9201.6,-69.6744,294.15,294.12003,294.01065
9223.2,-69.6744,294.15,294.12003,294.01065
9244.8,-69.6744,294.15,294.12003,294.01065
9266.4,-69.6744,294.15,294.12003,294.01065
9288,-69.6744,294.15,294.12003,294.01065
9309.6,-69.6744,294.15,294.12003,294.01065
9331.2,-69.6744,294.15,294.12003,294.01065
9352.8,-69.6744,294.15,294.12003,294.01065
9374.4,-69.6744,294.15,294.12003,294.01065
9396,-69.6744,294.15,294.12003,294.01065
9417.6,-69.6744,294.15,294.12003,294.01065
9439.2,-69.6744,294.15,294.12003,294.01065
9460.8,-69.6744,294.15,294.12003,294.01065
9482.4,-69.6744,294.15,294.12003,294.01065
9504,-69.6744,294.15,294.12003,294.01065
9525.6,-69.6744,294.15,294.12003,294.01065
9547.2,-69.6744,294.15,294.12003,294.01065
9568.8,-69.6744,294.15,294.12003,294.01065
9590.4,-69.6744,294.15,294.12003,294.01065
9612,-69.6744,294.15,294.12003,294.01065
9633.6,-69.6744,294.15,294.12003,294.01065
9655.2,-69.6744,294.15,294.12003,294.01065
9676.8,-69.6744,294.15,294.12003,294.01065
9698.4,-69.6744,294.15,294.12003,294.01065
9720,-69.6744,294.15,294.12003,294.01065
9741.6,-69.6744,294.15,294.12003,294.01065
