Time,radCon.Q_flow,radCon.vol[1].T,sou.T,radCon.vol[5].T,sou.T_in
6955.2,-511.9767,296.22583,328.15,295.43805,296.462
6976.8,-480.41757,296.03638,328.15,295.29715,296.258
6998.4,-448.8601,295.84692,328.15,295.15628,296.054
7020,-417.3044,295.6575,328.15,295.01538,295.85
7041.6,-385.7506,295.46805,328.15,294.8745,295.646
7063.2,-354.19885,295.27863,328.15,294.7336,295.442
7084.8,-322.64935,295.08917,328.15,294.5927,295.238
7106.4,-291.1023,294.89972,328.15,294.45178,295.034
7128,-259.55795,294.71027,328.15,294.31088,294.83
7149.6,-228.0167,294.5208,328.15,294.16995,294.626
7171.2,-196.47891,294.33136,328.15,294.02905,294.422
7192.8,-164.94518,294.1419,328.15,293.88812,294.218
7200,-154.43495,294.07877,328.15,293.84113,294.15
7214.4,-154.43495,294.07877,328.15,293.84113,294.15
7236,-154.43495,294.07877,328.15,293.84113,294.15
7257.6,-154.43495,294.07877,328.15,293.84113,294.15
7279.2,-154.43495,294.07877,328.15,293.84113,294.15
7300.8,-154.43495,294.07877,328.15,293.84113,294.15
7322.4,-154.43495,294.07877,328.15,293.84113,294.15
7344,-154.43495,294.07877,328.15,293.84113,294.15
7365.6,-154.43495,294.07877,328.15,293.84113,294.15
7387.2,-154.43495,294.07877,328.15,293.84113,294.15
7408.8,-154.43495,294.07877,328.15,293.84113,294.15
7430.4,-154.43495,294.07877,328.15,293.84113,294.15
7452,-154.43495,294.07877,328.15,293.84113,294.15
7473.6,-154.43495,294.07877,328.15,293.84113,294.15
7495.2,-154.43495,294.07877,328.15,293.84113,294.15
7516.8,-154.43495,294.07877,328.15,293.84113,294.15
7538.4,-154.43495,294.07877,328.15,293.84113,294.15
7560,-154.43495,294.07877,328.15,293.84113,294.15
7581.6,-154.43495,294.07877,328.15,293.84113,294.15
7603.2,-154.43495,294.07877,328.15,293.84113,294.15
7624.8,-154.43495,294.07877,328.15,293.84113,294.15
7646.4,-154.43495,294.07877,328.15,293.84113,294.15
7668,-154.43495,294.07877,328.15,293.84113,294.15
7689.6,-154.43495,294.07877,328.15,293.84113,294.15
7711.2,-154.43495,294.07877,328.15,293.84113,294.15
7732.8,-154.43495,294.07877,328.15,293.84113,294.15
7754.4,-154.43495,294.07877,328.15,293.84113,294.15
7776,-154.43495,294.07877,328.15,293.84113,294.15
7797.6,-154.43495,294.07877,328.15,293.84113,294.15
7819.2,-154.43495,294.07877,328.15,293.84113,294.15
7840.8,-154.43495,294.07877,328.15,293.84113,294.15
7862.4,-154.43495,294.07877,328.15,293.84113,294.15
7884,-154.43495,294.07877,328.15,293.84113,294.15
7905.6,-154.43495,294.07877,328.15,293.84113,294.15
7927.2,-154.43495,294.07877,328.15,293.84113,294.15
7948.8,-154.43495,294.07877,328.15,293.84113,294.15
7970.4,-154.43495,294.07877,328.15,293.84113,294.15
7992,-154.43495,294.07877,328.15,293.84113,294.15
8013.6,-154.43495,294.07877,328.15,293.84113,294.15
8035.2,-154.43495,294.07877,328.15,293.84113,294.15
8056.8,-154.43495,294.07877,328.15,293.84113,294.15
8078.4,-154.43495,294.07877,328.15,293.84113,294.15
8100,-154.43495,294.07877,328.15,293.84113,294.15
8121.6,-154.43495,294.07877,328.15,293.84113,294.15
8143.2,-154.43495,294.07877,328.15,293.84113,294.15
8164.8,-154.43495,294.07877,328.15,293.84113,294.15
8186.4,-154.43495,294.07877,328.15,293.84113,294.15
8208,-154.43495,294.07877,328.15,293.84113,294.15
8229.6,-154.43495,294.07877,328.15,293.84113,294.15
8251.2,-154.43495,294.07877,328.15,293.84113,294.15
8272.8,-154.43495,294.07877,328.15,293.84113,294.15
8294.4,-154.43495,294.07877,328.15,293.84113,294.15
8316,-154.43495,294.07877,328.15,293.84113,294.15
8337.6,-154.43495,294.07877,328.15,293.84113,294.15
8359.2,-154.43495,294.07877,328.15,293.84113,294.15
8380.8,-154.43495,294.07877,328.15,293.84113,294.15
8402.4,-154.43495,294.07877,328.15,293.84113,294.15
8424,-154.43495,294.07877,328.15,293.84113,294.15
8445.6,-154.43495,294.07877,328.15,293.84113,294.15
8467.2,-154.43495,294.07877,328.15,293.84113,294.15
8488.8,-154.43495,294.07877,328.15,293.84113,294.15
8510.4,-154.43495,294.07877,328.15,293.84113,294.15
8532,-154.43495,294.07877,328.15,293.84113,294.15
8553.6,-154.43495,294.07877,328.15,293.84113,294.15
8575.2,-154.43495,294.07877,328.15,293.84113,294.15
8596.8,-154.43495,294.07877,328.15,293.84113,294.15
8618.4,-154.43495,294.07877,328.15,293.84113,294.15
8640,-154.43495,294.07877,328.15,293.84113,294.15
8661.6,-154.43495,294.07877,328.15,293.84113,294.15
8683.2,-154.43495,294.07877,328.15,293.84113,294.15
8704.8,-154.43495,294.07877,328.15,293.84113,294.15
8726.4,-154.43495,294.07877,328.15,293.84113,294.15
8748,-154.43495,294.07877,328.15,293.84113,294.15
8769.6,-154.43495,294.07877,328.15,293.84113,294.15
8791.2,-154.43495,294.07877,328.15,293.84113,294.15
8812.8,-154.43495,294.07877,328.15,293.84113,294.15
8834.4,-154.43495,294.07877,328.15,293.84113,294.15
8856,-154.43495,294.07877,328.15,293.84113,294.15
8877.6,-154.43495,294.07877,328.15,293.84113,294.15
8899.2,-154.43495,294.07877,328.15,293.84113,294.15
8920.8,-154.43495,294.07877,328.15,293.84113,294.15
8942.4,-154.43495,294.07877,328.15,293.84113,294.15
8964,-154.43495,294.07877,328.15,293.84113,294.15
8985.6,-154.43495,294.07877,328.15,293.84113,294.15
9007.2,-154.43495,294.07877,328.15,293.84113,294.15
9028.8,-154.43495,294.07877,328.15,293.84113,294.15
9050.4,-154.43495,294.07877,328.15,293.84113,294.15
9072,-154.43495,294.07877,328.15,293.84113,294.15
9093.6,-154.43495,294.07877,328.15,293.84113,294.15
9115.2,-154.43495,294.07877,328.15,293.84113,294.15
9136.8,-154.43495,294.07877,328.15,293.84113,294.15
9158.4,-154.43495,294.07877,328.15,293.84113,294.15
9180,-154.43495,294.07877,328.15,293.84113,294.15
9201.6,-154.43495,294.07877,328.15,293.84113,294.15
9223.2,-154.43495,294.07877,328.15,293.84113,294.15
9244.8,-154.43495,294.07877,328.15,293.84113,294.15
9266.4,-154.43495,294.07877,328.15,293.84113,294.15
9288,-154.43495,294.07877,328.15,293.84113,294.15
9309.6,-154.43495,294.07877,328.15,293.84113,294.15
9331.2,-154.43495,294.07877,328.15,293.84113,294.15
9352.8,-154.43495,294.07877,328.15,293.84113,294.15
9374.4,-154.43495,294.07877,328.15,293.84113,294.15
9396,-154.43495,294.07877,328.15,293.84113,294.15
9417.6,-154.43495,294.07877,328.15,293.84113,294.15
9439.2,-154.43495,294.07877,328.15,293.84113,294.15
9460.8,-154.43495,294.07877,328.15,293.84113,294.15
9482.4,-154.43495,294.07877,328.15,293.84113,294.15
9504,-154.43495,294.07877,328.15,293.84113,294.15
9525.6,-154.43495,294.07877,328.15,293.84113,294.15
9547.2,-154.43495,294.07877,328.15,293.84113,294.15
9568.8,-154.43495,294.07877,328.15,293.84113,294.15
9590.4,-154.43495,294.07877,328.15,293.84113,294.15
9612,-154.43495,294.07877,328.15,293.84113,294.15
9633.6,-154.43495,294.07877,328.15,293.84113,294.15
9655.2,-154.43495,294.07877,328.15,293.84113,294.15
9676.8,-154.43495,294.07877,328.15,293.84113,294.15
9698.4,-154.43495,294.07877,328.15,293.84113,294.15
9720,-154.43495,294.07877,328.15,293.84113,294.15
9741.6,-154.43495,294.07877,328.15,293.84113,294.15
9763.2,-154.43495,294.07877,328.15,293.84113,294.15
9784.8,-154.43495,294.07877,328.15,293.84113,294.15
9806.4,-154.43495,294.07877,328.15,293.84113,294.15
9828,-154.43495,294.07877,328.15,293.84113,294.15
9849.6,-154.43495,294.07877,328.15,293.84113,294.15
9871.2,-154.43495,294.07877,328.15,293.84113,294.15
9892.8,-154.43495,294.07877,328.15,293.84113,294.15
9914.4,-154.43495,294.07877,328.15,293.84113,294.15
9936,-154.43495,294.07877,328.15,293.84113,294.15
9957.6,-154.43495,294.07877,328.15,293.84113,294.15
9979.2,-154.43495,294.07877,328.15,293.84113,294.15
10000.8,-154.43495,294.07877,328.15,293.84113,294.15
10022.4,-154.43495,294.07877,328.15,293.84113,294.15
10044,-154.43495,294.07877,328.15,293.84113,294.15
10065.6,-154.43495,294.07877,328.15,293.84113,294.15
10087.2,-154.43495,294.07877,328.15,293.84113,294.15
10108.8,-154.43495,294.07877,328.15,293.84113,294.15
10130.4,-154.43495,294.07877,328.15,293.84113,294.15
10152,-154.43495,294.07877,328.15,293.84113,294.15
10173.6,-154.43495,294.07877,328.15,293.84113,294.15
10195.2,-154.43495,294.07877,328.15,293.84113,294.15
10216.8,-154.43495,294.07877,328.15,293.84113,294.15
10238.4,-154.43495,294.07877,328.15,293.84113,294.15
